n,A,E,dd,d,hh,h,V
2,0.25,1,0.5,0.0075,1.0,0.015,-721.5475119
2,0.25,1,1.0,5.86e-05,0.00390625,5.86e-05,-31.31066673
2,0.25,1,1.0,0.000117,0.0078125,0.000117,-60.5726529
2,0.25,1,1.0,0.000234,0.015625,0.000234,-114.8949181
2,0.25,1,1.0,0.000469,0.03125,0.000469,-210.2175828
2,0.25,1,1.0,0.000938,0.0625,0.000938,-366.8521839
2,0.25,1,1.0,0.001875,0.125,0.001875,-599.6384265
2,0.25,1,1.0,0.00375,0.25,0.00375,-903.7205846
2,0.25,1,1.0,0.0075,0.5,0.0075,-1239.379907
2,0.25,1,1.0,0.015,1.0,0.015,-1540.554968
2,0.25,2,0.03125,1.83e-06,0.00390625,5.86e-05,6.599170047
2,0.25,2,0.03125,3.66e-06,0.0078125,0.000117,13.06287334
2,0.25,2,0.03125,7.32e-06,0.015625,0.000234,25.64943895
2,0.25,2,0.03125,1.46e-05,0.03125,0.000469,49.73211587
2,0.25,2,0.03125,2.93e-05,0.0625,0.000938,94.41950447
2,0.25,2,0.03125,5.86e-05,0.125,0.001875,173.2243664
2,0.25,2,0.03125,0.000117,0.25,0.00375,301.4029238
2,0.25,2,0.03125,0.000234,0.5,0.0075,483.5702171
2,0.25,2,0.03125,0.000469,1.0,0.015,688.3118332
2,0.25,2,0.0625,3.66e-06,0.00390625,5.86e-05,5.078793933
2,0.25,2,0.0625,7.32e-06,0.0078125,0.000117,10.04634808
2,0.25,2,0.0625,1.46e-05,0.015625,0.000234,19.71648028
2,0.25,2,0.0625,2.93e-05,0.03125,0.000469,38.14691466
2,0.25,2,0.0625,5.86e-05,0.0625,0.000938,72.21245453
2,0.25,2,0.0625,0.000117,0.125,0.001875,131.5944707
2,0.25,2,0.0625,0.000234,0.25,0.00375,225.8136199
2,0.25,2,0.0625,0.000469,0.5,0.0075,353.00132
2,0.25,2,0.0625,0.000938,1.0,0.015,474.6142854
2,0.25,2,0.125,7.32e-06,0.00390625,5.86e-05,2.046432768
